Races_ID,RaceTime,CardNo,HorseName,AgeWt,Trainer,Jockey,Or,FFigs,Draw,Days,Age,Aid,Allow,cdb
20,Newcastle,11,Parisiac,9-1,I Jardine,J Fanning,70,1592-58,(8),21,6,p,,D   
20,Newcastle,12,Sibyl Charm,8-11,I Jardine,A Mullen,66,5096-76,(10),15,5,,,  CD 
21,Newcastle,1,Rebecca's Girl,9-13,Gary Rutherford,Rhys Elliott,64,123-341,(3),7,5,b,3,  CD 
21,Newcastle,2,Rory,9-8,J S Goldie,Lauren Young,59,60-0803,(8),11,7,,5,D C  
21,Newcastle,3,Pallas Lord,9-7,D W Whillans,Shay Farmer,58,558-742,(1),15,7,t,5,  CD bf
21,Newcastle,4,Flash The Dash,9-4,Miss J A Camacho,Tom Kiely-Marshall,55,5336-51,(7),9,6,,3,  CD 
21,Newcastle,5,Keep Me Stable,9-4,Miss L A Perratt,Tommie Jakes,55,49293-6,(9),38,5,,,  CD 
21,Newcastle,6,Concert Boy,9-3,K Scott,Warren Fentiman,54,27-5121,(2),11,5,b,3,  CD 
21,Newcastle,7,Spartan Fighter,9-3,A Brittain,Alex Jary,54,65-6563,(6),11,8,v,,  CD 
21,Newcastle,8,Anif,9-2,M Herrington,Andrea Pinna,53,8363-69,(10),32,11,p,5,  CD 
21,Newcastle,9,Elettaria,9-1,J S Wainwright,Ryan Kavanagh,52,536-613,(5),11,6,,3,  CD 
21,Newcastle,10,Alexander James,9-0,M Herrington,Sam Feilden,51,6536-18,(4),36,9,t p,3, C  
22,Southwell,1,Jesse Luc,11-2,M Murphy,Mr Alex Chadwick,58,5-42121,(8),15,5,t h,,  CD 
22,Southwell,2,Caesars Pearl,11-1,Craig Lidster,Mr Joshua Brown,57,00/0397-,(6),60,5,,7,D   
22,Southwell,3,Almodovar Del Rio,11-0,M Botti,Mr Curtis Wilson-Ruddock,56,6/2588-3,(11),16,6,p,7,D   
22,Southwell,4,Piperstown  (ex5),11-0,K Frost,Miss Lauren Frost,56,61-6111,(2),4,4,,5,  CD 
22,Southwell,5,Voltaic,10-11,A W Carroll,Miss S L Bowen,53,1435-55,(1),17,9,v,,D   
22,Southwell,6,So Grateful,10-10,M & D Easterby,Miss Serena Brotherton,52,07467-5,(9),11,7,,,  CD 
22,Southwell,7,Belle Flora,10-8,P D Niven,Miss Rosie Howarth,50,4954/98,(3),9,4,t1 p1,5,   
22,Southwell,8,Raft Up,10-8,H Bethell,Miss Hannah Dring,50,9608-55,(4),25,4,,5,D   bf
22,Southwell,9,Broxi,10-5,K Frost,Mr Alexander Woodford,47,198347-,(10),257,7,b,7, C  bf
